timestamp,platform,user,channel,intent,confidence,lang,rawMessage,cleanMessage,response
2018-6-26 13:34:11,google_assistant,-,-,works-by,0.9200000166893005,en,"Give me two works from Vivaldi for violin","Give me two works from Vivaldi for violin","Yes! I tell you some titles. ...Concerto per la Santissima Assontione di Maria Vergine en ut majeur. Concerto fatto per la Solennità della S. Lingua di S. Antonio in Padua. "
2018-6-26 15:01:32,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,find-performance,0.7300000190734863,en,"Are there any events in paris","Are there any events in pares","In which period?"
2018-6-26 15:01:38,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,find-performance,1,en,"This week","This week",<result_card>
2018-6-26 15:02:19,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,discover-artist,1,en,"Tell me about Rachmaninov","Tell me about Rachmaninov",<result_card>
2018-6-26 15:03:08,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,works-by,1,en,"Now give me 2 of his works","Now give me 2 of his works","Ok! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-26 15:03:21,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,works-by - no,1,en,"No","No",<result_card>
2018-6-26 15:04:11,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,find-artist,1,en,"Find 3 artists born between 1860 and 1870 who wrote more works for piano","Find 3 artists born between 1860 and 1870 who wrote more works for piano",<result_card>
2018-6-26 15:04:42,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,hello,1,fr,"Bonjour","Bonjour","Salut! Je suis DOREMUS Bot! Tous les jours j'essaie d'apprendre informations sur la musique classique!"
2018-6-26 15:05:02,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,works-by,1,fr,"Donne-moi deux oeuvres de Vivoldi","Donne-moi deux œuvres de Vivaldi","Tu n'as spécifié pas beaucoup de filtres! Veux-tu ajouter quelque chose?"
2018-6-26 15:05:17,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,works-by-something,1,fr,"Oui le genre","Oui le genre","Quel genre?"
